小区名称,房源数量,平均单价,经度,纬度
陇南小区,1,51035,121.422549,31.129251
陕西南路550弄,2,167244.5,121.460894,31.207365
集雅公寓,1,148346,121.445037,31.202253
零陵小区,12,87863.5,121.444466,31.186954
青松小区,8,91553.5,121.449422,31.196816
音苑小区,4,146092.75,121.453286,31.212271
颐峰苑,2,155248,121.431501,31.188689
馨宁公寓,8,68885.625,121.447726,31.128049
馨汇南苑,9,111747.66666666667,121.436307,31.188334
高安路50弄,2,122191,121.445653,31.201967
高安路9弄,2,104797,121.445478,31.206315
高雅新村,2,62760,121.431897,31.13597
鸿艺豪苑,6,141081,121.445719,31.209395
龙兆苑,4,110684,121.446965,31.170983
龙华路2373弄,2,94553,121.452411,31.181674
龙华雅居,1,97852,121.452342,31.179156
龙南七村,6,69014.66666666667,121.452919,31.158807
