小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
梅陇四村,37,51887.72972972973,121.421073,31.137521,8293,1323
梓树园,6,75521.83333333333,121.430387,31.162632,6334,1029
梦蝶苑,6,79866.33333333333,121.436964,31.164566,5627,875
梧桐花园,16,121249.3125,121.460223,31.205396,4557,797
森陇家园,1,74346.0,121.416232,31.136797,8008,1256
楼园小区,15,60806.26666666667,121.431272,31.145279,6620,1059
樟树苑,1,75250.0,121.451166,31.14856,4640,690
樱花园(徐汇),6,52640.16666666666,121.431842,31.199136,5524,1204
橡胶小区,6,87471.33333333333,121.445572,31.196913,3082,673
欣嘉苑,5,95727.6,121.410724,31.180679,5686,1136
欣园新邨,4,65530.25,121.407272,31.157324,8213,1315
武康路391弄,2,114160.5,121.439219,31.205915,4411,1406
武康路73弄,1,142341.0,121.440849,31.212311,4358,977
民苑小区,12,111177.25,121.45807,31.171307,1796,263
气象苑,2,85330.0,121.437164,31.168507,3163,756
永兆豪庭,3,84517.0,121.395743,31.173606,7805,1422
永嘉大楼,4,120326.5,121.449294,31.20452,2940,672
永嘉路485弄,1,129537.0,121.453695,31.206323,3716,735
永嘉路486号,2,124532.0,121.453674,31.206321,3715,735
永太小区,4,128689.0,121.456411,31.209247,3896,818
永康路141弄,1,113551.0,121.456287,31.209871,3985,835
永康路175弄,1,120116.0,121.456096,31.209385,3930,831
永康路180号,1,243422.0,121.456239,31.210286,4038,817
永新城,9,151586.0,121.436307,31.188334,3493,778
永新花苑,2,100161.0,121.443443,31.193286,3420,787
永福第六小区,2,137561.0,121.437639,31.206332,4825,1133
永福路147弄,1,147825.0,121.444292,31.209715,3968,897
汇京佳丽园,3,95940.66666666669,121.429969,31.147135,6171,986
汇峰鼎园,4,146545.5,121.436307,31.188334,3493,778
汇成一村,2,51810.5,121.436307,31.188334,3493,778
汇成三村,4,55824.75,121.436307,31.188334,3493,770
汇成二村,5,48420.8,121.43492,31.145582,7019,1128
汇成五村,5,63588.4,121.436307,31.188334,3493,778
